('refaced', 'defacer')
('page', 'gape')
('relegating', 'regelating')
('precents', 'percents')
('gobies', 'bogies')
('tenting', 'netting')
('warren', 'warner')
('boats', 'boast')
('oinks', 'kinos')
('veils', 'evils')
('nabs', 'bans')
('lefts', 'felts')
('went', 'newt')
('peed', 'deep')
('solitaries', 'solitaires')
('led', 'del')
('led', 'eld')
('serow', 'resow')
('stanchers', 'snatchers')
('saccade', 'cascade')
('tastes', 'tasset')
('ketonic', 'kenotic')
('spile', 'slipe')
('spile', 'spiel')
('spiel', 'speil')
('plies', 'piles')
('cithren', 'cithern')
('ochreous', 'ocherous')
('protends', 'portends')
('tried', 'tired')
('quickset', 'quickest')
('said', 'dais')
('said', 'sadi')
('poohs', 'hoops')
('tamed', 'mated')
('resided', 'desired')
('gab', 'bag')
('berrettas', 'barrettes')
('voces', 'coves')
('rigged', 'digger')
('racemate', 'macerate')
('slat', 'salt')
('salt', 'last')
('lats', 'alts')
('lats', 'last')
('tolus', 'lotus')
('louts', 'lotus')
('rectify', 'certify')
('hegiras', 'hegaris')
('fined', 'fiend')
('lobsters', 'bolsters')
('precepts', 'percepts')
('redbug', 'bedrug')
('scraper', 'scarper')
('animes', 'amines')
('align', 'algin')
('reap', 'pear')
('rape', 'pare')
('rag', 'gar')
('mutules', 'mutuels')
('wany', 'awny')
('tepas', 'tapes')
('tapes', 'pates')
('daub', 'baud')
('fumers', 'femurs')
('wined', 'widen')
('grabs', 'brags')
('grabs', 'garbs')
('xis', 'six')
('kafir', 'fakir')
('rockers', 'corkers')
('reversing', 'reserving')
('sealer', 'leaser')
('sealer', 'reales')
('gutsy', 'gusty')
('limpets', 'limpest')
('users', 'suers')
('poohing', 'hooping')
('spiling', 'sliping')
('rands', 'nards')
('nards', 'darns')
('wet', 'tew')
('mairs', 'amirs')
('bistres', 'bisters')
('bisters', 'bestirs')
('patly', 'aptly')
('burnets', 'brunets')
('pah', 'hap')
('shared', 'shader')
('serials', 'serails')
('serails', 'resails')
('creed', 'cered')
('cered', 'ceder')
('organs', 'argons')
('organs', 'groans')
('electro', 'elector')
('raia', 'aria')
('seggar', 'sagger')
('gagers', 'aggers')
('eggars', 'aggers')
('postins', 'pistons')
('spas', 'saps')
('saps', 'asps')
('saps', 'pass')
('ohmage', 'homage')
