Total words: 114029
word: and frequency: 6236
word: the frequency: 4784
word: to frequency: 2980
word: a frequency: 2934
word: i frequency: 2588
word: it frequency: 2122
word: was frequency: 2060
word: of frequency: 1734
word: he frequency: 1475
word: in frequency: 1462
word: you frequency: 1250
word: that frequency: 1035
word: on frequency: 874
word: for frequency: 854
word: up frequency: 824
word: all frequency: 822
word: but frequency: 811
word: so frequency: 799
word: out frequency: 787
word: me frequency: 735
word: we frequency: 729
word: him frequency: 700
word: they frequency: 634
word: says frequency: 628
word: got frequency: 622
word:  i frequency: 573
word: with frequency: 572
word: his frequency: 547
word: as frequency: 545
word: there frequency: 507
word: them frequency: 499
word: no frequency: 495
word: then frequency: 485
word: said frequency: 481
word: see frequency: 477
word: down frequency: 465
word: had frequency: 459
word: she frequency: 433
word: about frequency: 417
word: at frequency: 412
word: would frequency: 397
word: my frequency: 396
word: or frequency: 393
word: by frequency: 386
word: when frequency: 382
word: be frequency: 381
word: come frequency: 380
word: do frequency: 369
word: if frequency: 367
word: one frequency: 355
word: her frequency: 347
word: didn’t frequency: 340
word: what frequency: 334
word: get frequency: 332
word: is frequency: 309
word: time frequency: 305
word: could frequency: 303
word: warn’t frequency: 293
word: don’t frequency: 292
word: went frequency: 292
word: right frequency: 292
word: ain’t frequency: 289
word: this frequency: 283
word: over frequency: 281
word: off frequency: 279
word: jim frequency: 266
word: just frequency: 262
word: go frequency: 262
word: like frequency: 261
word: way frequency: 261
word: good frequency: 259
word: old frequency: 255
word: around frequency: 255
word: know frequency: 251
word: de frequency: 241
word: along frequency: 229
word: done frequency: 223
word: couldn’t frequency: 218
word: en frequency: 217
word: because frequency: 213
word: back frequency: 213
word: ever frequency: 212
word: now frequency: 203
word: little frequency: 201
word: man frequency: 197
word: your frequency: 196
word: any frequency: 194
word:  he frequency: 193
word: never frequency: 192
word: some frequency: 191
word: more frequency: 189
word: again frequency: 189
word:  but frequency: 186
word: two frequency: 184
word: say frequency: 182
word: tom frequency: 180
word: have frequency: 180
word: tell frequency: 178
word: away frequency: 177
word: from frequency: 176
word: too frequency: 176
word: wouldn’t frequency: 174
word: made frequency: 174
word: nothing frequency: 173
word: going frequency: 173
word: not frequency: 172
word: took frequency: 169
word: make frequency: 169
word: us frequency: 168
word: how frequency: 167
word: well frequency: 164
word:  and frequency: 162
word: before frequency: 161
word: take frequency: 160
word: “well frequency: 158
word: it’s frequency: 154
word: here frequency: 153
word: want frequency: 152
word: their frequency: 152
word: let frequency: 150
word: nigger frequency: 148
word:  so frequency: 146
word: told frequency: 146
word: king frequency: 145
word: set frequency: 145
word: pretty frequency: 145
word: an frequency: 145
word: long frequency: 143
word: can frequency: 143
word: give frequency: 141
word:  the frequency: 140
word: thing frequency: 140
word: river frequency: 137
word: kind frequency: 136
word: most frequency: 136
word: into frequency: 136
word: put frequency: 135
word: did frequency: 135
word: duke frequency: 134
word: been frequency: 134
word: after frequency: 134
word: think frequency: 133
word: till frequency: 132
word: where frequency: 130
word: night frequency: 122
word: other frequency: 121
word: that’s frequency: 121
word: people frequency: 121
word:  it frequency: 120
word: reckon frequency: 118
word: things frequency: 116
word: only frequency: 114
word: which frequency: 113
word: every frequency: 111
word:  we frequency: 111
word: enough frequency: 109
word: look frequency: 109
word: place frequency: 109
word: head frequency: 109
word: “i frequency: 108
word: work frequency: 108
word: town frequency: 107
word: our frequency: 107
word: raft frequency: 107
word:  then frequency: 103
word: soon frequency: 101
word: very frequency: 100
word: another frequency: 99
word: day frequency: 99
word: such frequency: 99
word: much frequency: 98
word:  you frequency: 98
word: three frequency: 98
word: “why frequency: 96
word: always frequency: 95
word: last frequency: 95
word: better frequency: 94
word: can’t frequency: 94
word: wanted frequency: 94
word: knowed frequency: 94
word: big frequency: 94
word: first frequency: 93
word: minute frequency: 92
word: i’d frequency: 91
word: something frequency: 89
word: run frequency: 89
word: than frequency: 88
word: looked frequency: 88
word: hear frequency: 87
word: anything frequency: 87
word: through frequency: 85
word: under frequency: 85
word: i’ll frequency: 84
word: gone frequency: 84
word: next frequency: 82
word: heard frequency: 82
word: keep frequency: 81
word: project frequency: 80
word: money frequency: 80
word: everybody frequency: 79
word:  frequency: 78
word:  well frequency: 78
word: mile frequency: 78
word: still frequency: 77
word: it” frequency: 77
word: he’d frequency: 77
word: are frequency: 76
word: trouble frequency: 76
word: house frequency: 76
word: laid frequency: 75
word: reckoned frequency: 75
word: side frequency: 75
word: door frequency: 75
word: found frequency: 75
word: hadn’t frequency: 75
word:  they frequency: 75
word: mind frequency: 74
word: mighty frequency: 72
word: everything frequency: 72
word: must frequency: 72
word: hands frequency: 72
word: nobody frequency: 71
word: begun frequency: 71
word: anybody frequency: 71
word: bed frequency: 69
word: men frequency: 69
