Total words: 30923
word: the frequency: 1786
word:  frequency: 1395
word: and frequency: 877
word: to frequency: 795
word: a frequency: 677
word: of frequency: 610
word: she frequency: 537
word: it frequency: 464
word: said frequency: 461
word: in frequency: 413
word: alice frequency: 384
word: you frequency: 371
word: was frequency: 352
word: i frequency: 273
word: as frequency: 266
word: that frequency: 254
word: her frequency: 247
word: at frequency: 221
word: with frequency: 220
word: on frequency: 192
word: all frequency: 188
word: had frequency: 177
word: this frequency: 172
word: for frequency: 167
word: be frequency: 158
word: or frequency: 147
word: not frequency: 143
word: very frequency: 140
word: so frequency: 139
word: but frequency: 136
word: ‘i frequency: 126
word: little frequency: 126
word: they frequency: 122
word: is frequency: 120
word: he frequency: 114
word: out frequency: 113
word: about frequency: 100
word: down frequency: 98
word: if frequency: 95
word: his frequency: 95
word: what frequency: 94
word: one frequency: 94
word: up frequency: 94
word: no frequency: 84
word: herself frequency: 83
word: went frequency: 83
word: were frequency: 83
word: have frequency: 82
word: do frequency: 79
word: project frequency: 79
word: them frequency: 78
word: could frequency: 78
word: like frequency: 78
word: would frequency: 77
word: by frequency: 76
word: when frequency: 75
word: thought frequency: 74
word: any frequency: 74
word: again frequency: 71
word: then frequency: 71
word: there frequency: 69
word: your frequency: 69
word: into frequency: 67
word: know frequency: 67
word: see frequency: 66
word: queen frequency: 65
word: are frequency: 64
word: its frequency: 63
word: off frequency: 62
word: time frequency: 60
word: an frequency: 60
word: king frequency: 60
word: began frequency: 58
word: who frequency: 57
word: gutenbergtm frequency: 56
word: mock frequency: 56
word: ‘and frequency: 56
word: did frequency: 56
word: my frequency: 56
word: quite frequency: 55
word: turtle frequency: 55
word: gryphon frequency: 55
word: don’t frequency: 54
word: way frequency: 54
word: how frequency: 54
word: me frequency: 54
word: hatter frequency: 54
word: other frequency: 53
word: work frequency: 53
word: must frequency: 53
word: their frequency: 51
word: some frequency: 51
word: which frequency: 51
word: just frequency: 49
word: from frequency: 48
word: voice frequency: 48
word: more frequency: 48
word: only frequency: 48
word: ’ frequency: 47
word: it’ frequency: 46
word: first frequency: 46
word: think frequency: 46
word: such frequency: 46
word: looked frequency: 45
word: got frequency: 45
word: go frequency: 45
word: much frequency: 44
word: get frequency: 43
word: can frequency: 43
word: say frequency: 43
word: never frequency: 42
word: rabbit frequency: 42
word: head frequency: 41
word: tone frequency: 40
word: him frequency: 40
word: came frequency: 40
word: after frequency: 40
word: thing frequency: 40
word: round frequency: 40
word: ‘you frequency: 39
word: ‘but frequency: 39
word: i’m frequency: 39
word: will frequency: 39
word: mouse frequency: 39
word: great frequency: 39
word: been frequency: 38
word: over frequency: 37
word: duchess frequency: 37
word: now frequency: 37
word: dormouse frequency: 36
word: two frequency: 36
word: before frequency: 35
word: ‘what frequency: 35
word: here frequency: 35
word: back frequency: 35
word: large frequency: 33
word: without frequency: 33
word: long frequency: 33
word: found frequency: 33
word: cat frequency: 33
word: it’s frequency: 33
word: march frequency: 33
word: well frequency: 33
word: last frequency: 32
word: works frequency: 32
word: put frequency: 31
word: hare frequency: 31
word: once frequency: 30
word: make frequency: 30
word: ‘it frequency: 30
word: looking frequency: 30
word: door frequency: 30
word: come frequency: 30
word: white frequency: 30
word: made frequency: 30
word: replied frequency: 29
word: eyes frequency: 29
word: should frequency: 29
word: nothing frequency: 29
word: tell frequency: 29
word: next frequency: 29
word: heard frequency: 29
word: use frequency: 28
word: upon frequency: 28
word: might frequency: 28
word: moment frequency: 28
word: right frequency: 28
word: things frequency: 27
word: we frequency: 27
word: seemed frequency: 27
word: electronic frequency: 27
word: caterpillar frequency: 27
word: going frequency: 27
word: look frequency: 27
word: can’t frequency: 27
word: poor frequency: 26
word: may frequency: 26
word: that’ frequency: 26
word: while frequency: 26
word: rather frequency: 25
word: soon frequency: 25
word: than frequency: 25
word: i’ll frequency: 24
word: shall frequency: 24
word: same frequency: 24
word: took frequency: 24
word: three frequency: 24
word: good frequency: 24
word: ‘it’s frequency: 24
word: away frequency: 24
word: felt frequency: 23
word: added frequency: 23
word: ‘oh frequency: 23
word: too frequency: 23
word: day frequency: 22
word: set frequency: 22
word: another frequency: 22
word: ‘well frequency: 22
word: wish frequency: 22
word: dear frequency: 22
word: won’t frequency: 22
word: even frequency: 21
word: ‘if frequency: 21
word: half frequency: 21
word: under frequency: 21
word: know’ frequency: 21
word: anything frequency: 21
word: gutenberg frequency: 21
word: terms frequency: 21
word: oh frequency: 21
word: ‘the frequency: 21
word: getting frequency: 21
word: however frequency: 20
word: foundation frequency: 20
word: cried frequency: 20
word: ‘i’m frequency: 20
word: i’ve frequency: 20
word: find frequency: 20
word: sure frequency: 20
word: minute frequency: 20
word: ever frequency: 19
word: course frequency: 19
word: you’ frequency: 19
word: words frequency: 19
word: till frequency: 19
word: being frequency: 19
word: tried frequency: 19
word: take frequency: 19
