Total words: 25869
word: the frequency: 1327
word:  frequency: 896
word: to frequency: 833
word: and frequency: 710
word: he frequency: 587
word: his frequency: 550
word: of frequency: 548
word: was frequency: 410
word: in frequency: 405
word: it frequency: 380
word: that frequency: 359
word: had frequency: 352
word: a frequency: 342
word: gregor frequency: 298
word: as frequency: 252
word: with frequency: 245
word: she frequency: 199
word: not frequency: 197
word: for frequency: 192
word: him frequency: 188
word: would frequency: 187
word: her frequency: 187
word: at frequency: 183
word: but frequency: 176
word: on frequency: 165
word: they frequency: 159
word: all frequency: 152
word: this frequency: 140
word: be frequency: 138
word: from frequency: 134
word: room frequency: 131
word: if frequency: 123
word: could frequency: 120
word: you frequency: 119
word: or frequency: 118
word: out frequency: 115
word: have frequency: 112
word: there frequency: 108
word: father frequency: 102
word: been frequency: 101
word: sister frequency: 101
word: so frequency: 98
word: now frequency: 89
word: mother frequency: 89
word: himself frequency: 87
word: door frequency: 87
word: project frequency: 84
word: any frequency: 84
word: up frequency: 84
word: then frequency: 84
word: even frequency: 82
word: back frequency: 82
word: into frequency: 78
word: what frequency: 77
word: by frequency: 76
word: work frequency: 75
word: about frequency: 73
word: did frequency: 73
word: more frequency: 72
word: their frequency: 70
word: were frequency: 70
word: when frequency: 69
word: no frequency: 67
word: way frequency: 64
word: them frequency: 64
word: only frequency: 63
word: do frequency: 61
word: one frequency: 60
word: time frequency: 59
word: other frequency: 59
word: gutenbergtm frequency: 57
word: i frequency: 57
word: than frequency: 57
word: is frequency: 52
word: just frequency: 51
word: said frequency: 51
word: little frequency: 49
word: without frequency: 47
word: first frequency: 44
word: get frequency: 44
word: still frequency: 44
word: see frequency: 42
word: while frequency: 41
word: some frequency: 41
word: which frequency: 41
word: before frequency: 40
word: where frequency: 40
word: go frequency: 40
word: made frequency: 40
word: much frequency: 39
word: again frequency: 39
word: chief frequency: 38
word: after frequency: 38
word: head frequency: 38
word: clerk frequency: 37
word: like frequency: 36
word: who frequency: 36
word: an frequency: 35
word: very frequency: 35
word: we frequency: 35
word: open frequency: 35
word: down frequency: 35
word: samsa frequency: 34
word: away frequency: 34
word: how frequency: 33
word: come frequency: 33
word: works frequency: 33
word: thought frequency: 32
word: family frequency: 32
word: went frequency: 32
word: over frequency: 32
word: well frequency: 32
