Total words: 125257
word: the frequency: 4503
word: to frequency: 4218
word: of frequency: 3726
word: and frequency: 3647
word: her frequency: 2225
word: i frequency: 2069
word: a frequency: 2004
word: in frequency: 1923
word: was frequency: 1847
word: she frequency: 1711
word: that frequency: 1594
word: it frequency: 1547
word: not frequency: 1450
word: you frequency: 1426
word: he frequency: 1338
word: his frequency: 1270
word: be frequency: 1260
word: as frequency: 1191
word: had frequency: 1177
word: with frequency: 1098
word: for frequency: 1083
word: but frequency: 1007
word: is frequency: 884
word: have frequency: 847
word: at frequency: 800
word: mr frequency: 786
word: him frequency: 764
word: on frequency: 726
word: my frequency: 719
word: by frequency: 656
word: all frequency: 643
word: elizabeth frequency: 635
word: they frequency: 604
word: so frequency: 590
word: were frequency: 566
word: which frequency: 546
word: could frequency: 527
word: been frequency: 515
word: from frequency: 508
word: no frequency: 498
word: this frequency: 492
word: very frequency: 488
word: what frequency: 479
word: would frequency: 471
word:  frequency: 468
word: your frequency: 465
word: me frequency: 448
word: their frequency: 443
word: them frequency: 435
word: darcy frequency: 418
word: will frequency: 418
word: said frequency: 401
word: such frequency: 395
word: or frequency: 375
word: when frequency: 375
word: if frequency: 370
word: do frequency: 364
word: are frequency: 360
word: an frequency: 358
word: there frequency: 357
word: mrs frequency: 343
word: much frequency: 329
word: more frequency: 327
word: bennet frequency: 323
word: must frequency: 318
word: am frequency: 317
word: bingley frequency: 306
word: any frequency: 306
word: jane frequency: 293
word: who frequency: 287
word: than frequency: 284
word: miss frequency: 283
word: one frequency: 274
word: did frequency: 272
word: we frequency: 262
word: should frequency: 250
word: know frequency: 239
word: how frequency: 235
word: before frequency: 229
word: herself frequency: 227
word: though frequency: 226
word: other frequency: 225
word: has frequency: 223
word: can frequency: 221
word: never frequency: 220
word: only frequency: 218
word: sister frequency: 216
word: soon frequency: 216
word: well frequency: 214
word: some frequency: 212
word: think frequency: 211
word: now frequency: 209
word: may frequency: 207
word: time frequency: 200
word: after frequency: 200
word: might frequency: 200
word: every frequency: 198
word: wickham frequency: 194
word: most frequency: 191
word: lady frequency: 191
word: little frequency: 189
word: good frequency: 184
word: own frequency: 183
word: collins frequency: 180
word: without frequency: 178
word: nothing frequency: 177
word: again frequency: 177
word: being frequency: 175
word: then frequency: 175
word: lydia frequency: 171
word: make frequency: 170
word: shall frequency: 164
word: say frequency: 160
word: dear frequency: 158
word: see frequency: 152
word: family frequency: 152
word: man frequency: 150
word: first frequency: 145
word: into frequency: 142
word: too frequency: 142
word: great frequency: 141
word: out frequency: 136
word: however frequency: 135
word: mother frequency: 135
word: two frequency: 135
word: father frequency: 135
word: day frequency: 134
word: about frequency: 130
word: ever frequency: 130
word: young frequency: 130
word: himself frequency: 127
word: us frequency: 127
word: catherine frequency: 126
word: give frequency: 126
word: made frequency: 126
word: up frequency: 124
word: hope frequency: 122
word: many frequency: 121
word: last frequency: 119
word: away frequency: 119
word: always frequency: 119
word: letter frequency: 116
word: cannot frequency: 116
word: long frequency: 115
word: thought frequency: 112
word: friend frequency: 112
word: room frequency: 112
word: its frequency: 111
word: way frequency: 110
