Total words: 125257
word:  frequency: 468
word: sit frequency: 15
word: govern frequency: 1
word: charity frequency: 1
word: bound frequency: 3
word: infancy frequency: 2
word: nursing frequency: 1
word: animating frequency: 1
word: hurst frequency: 33
word: ordination frequency: 1
word: lips frequency: 9
word: symptom frequency: 4
word: ours frequency: 2
word: thursday frequency: 4
word: inclined frequency: 10
word: exists frequency: 1
word: verily frequency: 1
word: illsuccess frequency: 1
word: insupportable frequency: 3
word: implicit frequency: 1
word: measures frequency: 3
word: betray frequency: 3
word: seek frequency: 8
word: pointed frequency: 5
word: overtures frequency: 1
word: exercise frequency: 6
word: assistance frequency: 14
word: packing frequency: 1
word: uncertain frequency: 2
word: regrets frequency: 3
word: kindness frequency: 29
word: conjunction frequency: 1
word: dared frequency: 13
word: perceptible frequency: 1
word: breathless frequency: 2
word: happily frequency: 5
word: reports frequency: 2
word: separate frequency: 6
word: doubled frequency: 1
word: bandbox frequency: 1
word: involves frequency: 1
word: devote frequency: 1
word: dancing frequency: 21
word: lottery frequency: 3
word: meets frequency: 2
word: resuming frequency: 1
word: conscience frequency: 5
word: tries frequency: 1
word: local frequency: 1
word: inflict frequency: 2
word: breakfast frequency: 21
word: fugitives frequency: 1
word: incumbent frequency: 4
word: sings frequency: 1
word: easiness frequency: 3
word: approached frequency: 6
word: leaves frequency: 2
word: extravagance frequency: 4
word: along frequency: 9
word: lamented frequency: 1
word: thoughtfulness frequency: 2
word: blush frequency: 4
word: arch frequency: 1
word: unvarying frequency: 1
word: nieces frequency: 9
word: cunning frequency: 1
word: undervaluing frequency: 1
word: readiness frequency: 4
word: probity frequency: 1
word: king frequency: 8
word: observation frequency: 14
word: alterations frequency: 1
word: despicable frequency: 1
word: continually frequency: 6
word: 49 frequency: 1
word: household frequency: 1
word: educated frequency: 2
word: overpower frequency: 1
word: ridicule frequency: 5
word: temper frequency: 24
word: unstudied frequency: 1
word: coarse frequency: 1
word: enabled frequency: 2
word: courtier frequency: 1
word: person frequency: 55
word: genteel frequency: 3
word: infinitely frequency: 4
word: anything frequency: 82
word: grievous frequency: 3
word: wounded frequency: 3
word: original frequency: 5
word: used frequency: 23
word: bath frequency: 1
word: stirring frequency: 1
word: finer frequency: 5
word: unreserve frequency: 1
word: studier frequency: 1
word: mature frequency: 1
word: lot frequency: 3
word: sisterinlaw frequency: 2
word: everyone frequency: 6
word: deception frequency: 1
word: duped frequency: 1
word: finelooking frequency: 1
word: deeplyrooted frequency: 1
word: violation frequency: 2
word: admittance frequency: 1
word: almost frequency: 60
word: quieted frequency: 2
word: trembling frequency: 1
word: considerations frequency: 1
word: persevered frequency: 1
word: reasonable frequency: 15
word: ashooting frequency: 1
word: ruin frequency: 5
word: actual frequency: 6
word: farther frequency: 15
word: advantages frequency: 8
word: solitude frequency: 3
word: disarm frequency: 1
word: asperity frequency: 1
word: commiseration frequency: 1
word: investigation frequency: 1
word: recreation frequency: 1
word: internal frequency: 1
word: duel frequency: 1
word: avarice frequency: 1
word: witnessed frequency: 4
word: sincerely frequency: 9
word: things frequency: 30
word: blinded frequency: 2
word: planning frequency: 2
word: promising frequency: 4
word: coquetry frequency: 1
word: afterwards frequency: 32
word: affable frequency: 1
word: limits frequency: 1
word: inhabitants frequency: 3
word: nearly frequency: 10
word: sufferings frequency: 2
word: event frequency: 22
word: observe frequency: 10
word: snug frequency: 1
word: officer frequency: 8
word: does frequency: 87
word: staircase frequency: 2
word: sportive frequency: 1
word: michael frequency: 2
word: pianoforte frequency: 5
word: fun frequency: 8
word: complaisance frequency: 5
word: manoeuvre frequency: 1
word: tranquil frequency: 2
word: words frequency: 30
word: consenting frequency: 1
word: minute frequency: 9
word: remedies frequency: 1
word: critical frequency: 2
word: files frequency: 2
word: refinements frequency: 1
word: suitable frequency: 3
word: thing frequency: 42
word: vacancy frequency: 1
word: levelled frequency: 1
word: irreproachable frequency: 1
word: description frequency: 7
word: happen frequency: 12
word: drawing frequency: 3
word: frankly frequency: 1
word: incensed frequency: 2
word: informality frequency: 1
word: curiosity frequency: 23
word: them frequency: 435
word: attracted frequency: 2
word: walker frequency: 3
word: parade frequency: 2
word: works frequency: 32
word: 1a frequency: 1
word: back frequency: 41
word: sneering frequency: 1
word: e frequency: 1
word: severity frequency: 1
word: understood frequency: 13
word: ungraciousness frequency: 1
word: likelihood frequency: 5
word: aspect frequency: 6
word: breath frequency: 2
word: tenor frequency: 1
word: consent frequency: 13
